feature,type,psi,psi_severity,test_stat,p_value,drifted,scenario,seed
MonthlyCharges,numeric,0.0091,no_significant_drift,0.0258,0.9225,False,S0,0
tenure,numeric,0.0091,no_significant_drift,0.0365,0.5819,False,S0,0
SeniorCitizen,numeric,0.0325,no_significant_drift,0.0348,0.6438,False,S0,0
MonthlyCharges,numeric,1.0283,significant_drift,0.4132,0.0,True,S1,0
tenure,numeric,0.0091,no_significant_drift,0.0365,0.5819,False,S1,0
SeniorCitizen,numeric,0.0325,no_significant_drift,0.0348,0.6438,False,S1,0
MonthlyCharges,numeric,0.0091,no_significant_drift,0.0258,0.9225,False,S2,0
tenure,numeric,0.0091,no_significant_drift,0.0365,0.5819,False,S2,0
SeniorCitizen,numeric,0.9949,significant_drift,0.3945,0.0,True,S2,0
MonthlyCharges,numeric,0.0162,no_significant_drift,0.0412,0.4249,False,S0,1
tenure,numeric,0.0189,no_significant_drift,0.0625,0.0596,False,S0,1
SeniorCitizen,numeric,0.0164,no_significant_drift,0.0258,0.9225,False,S0,1
MonthlyCharges,numeric,0.9447,significant_drift,0.3818,0.0,True,S1,1
tenure,numeric,0.0189,no_significant_drift,0.0625,0.0596,False,S1,1
SeniorCitizen,numeric,0.0164,no_significant_drift,0.0258,0.9225,False,S1,1
MonthlyCharges,numeric,0.0162,no_significant_drift,0.0412,0.4249,False,S2,1
tenure,numeric,0.0189,no_significant_drift,0.0625,0.0596,False,S2,1
SeniorCitizen,numeric,0.9462,significant_drift,0.386,0.0,True,S2,1
MonthlyCharges,numeric,0.008,no_significant_drift,0.0408,0.4403,False,S0,2
tenure,numeric,0.0178,no_significant_drift,0.0328,0.7146,False,S0,2
SeniorCitizen,numeric,0.0078,no_significant_drift,0.0355,0.6171,False,S0,2
MonthlyCharges,numeric,1.0435,significant_drift,0.4162,0.0,True,S1,2
tenure,numeric,0.0178,no_significant_drift,0.0328,0.7146,False,S1,2
SeniorCitizen,numeric,0.0078,no_significant_drift,0.0355,0.6171,False,S1,2
MonthlyCharges,numeric,0.008,no_significant_drift,0.0408,0.4403,False,S2,2
tenure,numeric,0.0178,no_significant_drift,0.0328,0.7146,False,S2,2
SeniorCitizen,numeric,0.8961,significant_drift,0.3848,0.0,True,S2,2
MonthlyCharges,numeric,0.018,no_significant_drift,0.05,0.2096,False,S0,3
tenure,numeric,0.0148,no_significant_drift,0.027,0.8935,False,S0,3
SeniorCitizen,numeric,0.0189,no_significant_drift,0.0415,0.4174,False,S0,3
MonthlyCharges,numeric,0.8333,significant_drift,0.3528,0.0,True,S1,3
tenure,numeric,0.0148,no_significant_drift,0.027,0.8935,False,S1,3
SeniorCitizen,numeric,0.0189,no_significant_drift,0.0415,0.4174,False,S1,3
MonthlyCharges,numeric,0.018,no_significant_drift,0.05,0.2096,False,S2,3
tenure,numeric,0.0148,no_significant_drift,0.027,0.8935,False,S2,3
SeniorCitizen,numeric,0.8844,significant_drift,0.3862,0.0,True,S2,3
MonthlyCharges,numeric,0.0233,no_significant_drift,0.0435,0.3596,False,S0,4
tenure,numeric,0.0373,no_significant_drift,0.035,0.6349,False,S0,4
SeniorCitizen,numeric,0.0158,no_significant_drift,0.0345,0.6527,False,S0,4
MonthlyCharges,numeric,0.8811,significant_drift,0.383,0.0,True,S1,4
tenure,numeric,0.0373,no_significant_drift,0.035,0.6349,False,S1,4
SeniorCitizen,numeric,0.0158,no_significant_drift,0.0345,0.6527,False,S1,4
MonthlyCharges,numeric,0.0233,no_significant_drift,0.0435,0.3596,False,S2,4
tenure,numeric,0.0373,no_significant_drift,0.035,0.6349,False,S2,4
SeniorCitizen,numeric,0.9995,significant_drift,0.3942,0.0,True,S2,4
