feature,psi,shap_importance,drift_score_norm,importance_score_norm,rca_score,rca_rank,psi_only_rank,shap_only_rank,scenario,seed
MonthlyCharges,0.0091,0.45,0.05,1.0,0.05,1,2,1,S0,0
SeniorCitizen,0.0325,0.05,1.0,0.05,0.05,1,1,3,S0,0
tenure,0.0091,0.3,0.05,0.6437,0.0322,3,2,2,S0,0
MonthlyCharges,1.0283,0.45,1.0,1.0,1.0,1,1,1,S1,0
tenure,0.0091,0.3,0.05,0.6437,0.0322,2,3,2,S1,0
SeniorCitizen,0.0325,0.05,0.0718,0.05,0.0036,3,2,3,S1,0
MonthlyCharges,0.0091,0.45,0.05,1.0,0.05,1,2,1,S2,0
SeniorCitizen,0.9949,0.05,1.0,0.05,0.05,1,1,3,S2,0
tenure,0.0091,0.3,0.05,0.6437,0.0322,3,2,2,S2,0
tenure,0.0189,0.3,1.0,0.6437,0.6437,1,1,2,S0,1
MonthlyCharges,0.0162,0.45,0.05,1.0,0.05,2,3,1,S0,1
SeniorCitizen,0.0164,0.05,0.1204,0.05,0.006,3,2,3,S0,1
MonthlyCharges,0.9447,0.45,1.0,1.0,1.0,1,1,1,S1,1
tenure,0.0189,0.3,0.0526,0.6437,0.0338,2,2,2,S1,1
SeniorCitizen,0.0164,0.05,0.05,0.05,0.0025,3,3,3,S1,1
MonthlyCharges,0.0162,0.45,0.05,1.0,0.05,1,3,1,S2,1
SeniorCitizen,0.9462,0.05,1.0,0.05,0.05,1,1,3,S2,1
tenure,0.0189,0.3,0.0528,0.6437,0.034,3,2,2,S2,1
tenure,0.0178,0.3,1.0,0.6437,0.6437,1,1,2,S0,2
MonthlyCharges,0.008,0.45,0.069,1.0,0.069,2,2,1,S0,2
SeniorCitizen,0.0078,0.05,0.05,0.05,0.0025,3,3,3,S0,2
MonthlyCharges,1.0435,0.45,1.0,1.0,1.0,1,1,1,S1,2
tenure,0.0178,0.3,0.0592,0.6437,0.0381,2,2,2,S1,2
SeniorCitizen,0.0078,0.05,0.05,0.05,0.0025,3,3,3,S1,2
MonthlyCharges,0.008,0.45,0.05,1.0,0.05,1,3,1,S2,2
SeniorCitizen,0.8961,0.05,1.0,0.05,0.05,1,1,3,S2,2
tenure,0.0178,0.3,0.0605,0.6437,0.0389,3,2,2,S2,2
MonthlyCharges,0.018,0.45,0.7915,1.0,0.7915,1,2,1,S0,3
SeniorCitizen,0.0189,0.05,1.0,0.05,0.05,2,1,3,S0,3
tenure,0.0148,0.3,0.05,0.6437,0.0322,3,3,2,S0,3
MonthlyCharges,0.8333,0.45,1.0,1.0,1.0,1,1,1,S1,3
tenure,0.0148,0.3,0.05,0.6437,0.0322,2,3,2,S1,3
SeniorCitizen,0.0189,0.05,0.0548,0.05,0.0027,3,2,3,S1,3
MonthlyCharges,0.018,0.45,0.0535,1.0,0.0535,1,2,1,S2,3
SeniorCitizen,0.8844,0.05,1.0,0.05,0.05,2,1,3,S2,3
tenure,0.0148,0.3,0.05,0.6437,0.0322,3,3,2,S2,3
tenure,0.0373,0.3,1.0,0.6437,0.6437,1,1,2,S0,4
MonthlyCharges,0.0233,0.45,0.3814,1.0,0.3814,2,2,1,S0,4
SeniorCitizen,0.0158,0.05,0.05,0.05,0.0025,3,3,3,S0,4
MonthlyCharges,0.8811,0.45,1.0,1.0,1.0,1,1,1,S1,4
tenure,0.0373,0.3,0.0736,0.6437,0.0474,2,2,2,S1,4
SeniorCitizen,0.0158,0.05,0.05,0.05,0.0025,3,3,3,S1,4
MonthlyCharges,0.0233,0.45,0.05,1.0,0.05,1,3,1,S2,4
SeniorCitizen,0.9995,0.05,1.0,0.05,0.05,1,1,3,S2,4
tenure,0.0373,0.3,0.0636,0.6437,0.041,3,2,2,S2,4
